property_id,title,location,city,price_lakhs,area_sqft,bedrooms,bathrooms,property_type,amenities,furnishing,age_years,description,state,district,locality,area,landmark,pincode,image_urls
PROP-1001,"Modern 2 BHK Apartment in Alipiri, Tirupati","Alipiri, Tirupati",Tirupati,45.0,950,2,2,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Semi-Furnished,0,"Beautiful, well-ventilated 2 BHK home situated in prime residential hub of Alipiri, Tirupati. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Andhra Pradesh,Tirupati,Alipiri,Alipiri Foothills Road,Alipiri Temple Steps,517507,https://images.unsplash.com/photo-1560518883-ce09059eeffa?auto=format&fit=crop&w=600&q=80&sig=1001
PROP-1002,"Luxury 4 BHK Triplex Villa in Renigunta Road, Tirupati","Renigunta Road, Tirupati",Tirupati,198.0,2920,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Furnished,1,"Exquisite 4 BHK independent triplex villa in premium gated township at Renigunta Road, Tirupati. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Andhra Pradesh,Tirupati,Renigunta Road,Renigunta Junction,Tirupati Railway Stn,517506,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=600&q=80&sig=1002
PROP-1003,"Spacious 3 BHK Independent Duplex in Tiruchanoor, Tirupati","Tiruchanoor, Tirupati",Tirupati,134.0,2120,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of Tiruchanoor, Tirupati. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Andhra Pradesh,Tirupati,Tiruchanoor,Tiruchanoor Temple Road,Padmavathi Temple,517503,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=600&q=80&sig=1003
PROP-1004,"Exclusive Residential Plot in Chandragiri, Tirupati","Chandragiri, Tirupati",Tirupati,41.5,2250,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 2250 sq.ft residential plot in gated layout at Chandragiri, Tirupati. Close to Historic Fort. Clear titles, 40ft approach road, and high investment appreciation potential.",Andhra Pradesh,Tirupati,Chandragiri,Chandragiri Fort Road,Historic Fort,517101,https://images.unsplash.com/photo-1613977257363-707ba9348227?auto=format&fit=crop&w=600&q=80&sig=1004
PROP-1005,"Sky Villa 4 BHK Penthouse in MR Palli, Tirupati","MR Palli, Tirupati",Tirupati,298.0,3600,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,1,"Top-floor luxury sky villa penthouse commanding panoramic views of Tirupati skyline in MR Palli. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Andhra Pradesh,Tirupati,MR Palli,MR Palli Circle,SV University Gate,517502,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=600&q=80&sig=1005
PROP-1006,"Modern 3 BHK Apartment in Korlagunta, Tirupati","Korlagunta, Tirupati",Tirupati,87.5,1400,3,3,Apartment,"Parking, Elevator, Security, Power Backup, Gym, Balcony, Play Area",Unfurnished,1,"Beautiful, well-ventilated 3 BHK home situated in prime residential hub of Korlagunta, Tirupati. Modular kitchen, sunlit living area, high-speed elevator, and 24-hour security.",Andhra Pradesh,Tirupati,Korlagunta,Korlagunta Main Road,Maruthi Nagar Park,517501,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=600&q=80&sig=1006
PROP-1007,"Luxury 4 BHK Triplex Villa in Ramanuja Circle, Tirupati","Ramanuja Circle, Tirupati",Tirupati,288.0,3520,4,4,Villa,"Parking, Private Garden, Swimming Pool, Security, Clubhouse, Gym, Solar Power",Semi-Furnished,2,"Exquisite 4 BHK independent triplex villa in premium gated township at Ramanuja Circle, Tirupati. Includes private landscaped garden, double-height living hall, servant quarters, and 2 car parkings.",Andhra Pradesh,Tirupati,Ramanuja Circle,Ramanuja Circle Road,RTC Bus Stand,517501,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=600&q=80&sig=1007
PROP-1008,"Spacious 3 BHK Independent Duplex in SV Nagar, Tirupati","SV Nagar, Tirupati",Tirupati,194.0,2670,3,3,Independent House,"Parking, Private Courtyard, Security, Power Backup, Terrace Garden",Semi-Furnished,2,"Independent ground + 1 duplex residence in serene neighborhood of SV Nagar, Tirupati. Features wide road frontage, Vastu-compliant layout, private paved garden, and 24/7 power backup.",Andhra Pradesh,Tirupati,SV Nagar,SV University Campus,SV Medical College,517502,https://images.unsplash.com/photo-1500382017468-9049fed747ef?auto=format&fit=crop&w=600&q=80&sig=1008
PROP-1009,"Exclusive Residential Plot in Akkarampalli, Tirupati","Akkarampalli, Tirupati",Tirupati,64.0,3000,0,0,Land,"Clear Title, Blacktop Road, Fencing, Water Connection, Electricity",Unfurnished,0,"Prime East-facing 3000 sq.ft residential plot in gated layout at Akkarampalli, Tirupati. Close to Tirumala Bypass Junction. Clear titles, 40ft approach road, and high investment appreciation potential.",Andhra Pradesh,Tirupati,Akkarampalli,Akkarampalli Bypass,Tirumala Bypass Junction,517507,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=600&q=80&sig=1009
PROP-1010,"Sky Villa 4 BHK Penthouse in KT Road, Tirupati","KT Road, Tirupati",Tirupati,408.0,4100,4,5,Penthouse,"Parking, Private Terrace, Swimming Pool, Gym, Elevator, Security, Concierge",Furnished,0,"Top-floor luxury sky villa penthouse commanding panoramic views of Tirupati skyline in KT Road. Private rooftop deck, VRV air-conditioning, Italian marble flooring, and 3 reserved parking slots.",Andhra Pradesh,Tirupati,KT Road,Kapila Theertham Road,Waterfalls Park,517507,https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7?auto=format&fit=crop&w=600&q=80&sig=1010
